Key,Source,Context,Changes,schinese
hysqDesc,blocks,Workstation,New,旧日支配者黄衣之主哈斯塔用来喝酒的酒杯，被克苏鲁打至凡间，据说能够召唤来黄衣之主的投影，此外还有一些奇妙的作用,,,,,
5.56Desc,items,Ammo,New,5.56mm北约标准子弹，可被M16、M4A1、SCAR、M249等枪械使用，伤害略低于7.62子弹但射速更快且消耗更少的火药,,,,,
ssydDesc,items,Ammo,New,掺入银元素的神圣子弹可以对不死生物造成额外50%的附加伤害,,,,,
bydDesc,items,Ammo,New,攻击有20%的几率点燃敌人 攻击处于燃烧状态的敌人基础伤害提高30点,,,,,
lmdDesc,items,Ammo,New,蕴含雷霆元素的子弹有30%的几率使敌人电击 攻击处于电击状态的敌人致残率上升30%,,,,,
lndDesc,items,Ammo,New,攻击时强大的灵能冲击有30%的几率将敌人击倒在地,,,,,
sddDesc,items,Ammo,New,蕴含霜冻元素的子弹有60%霜冻敌人 继续攻击霜冻状态下的敌人有几率使其冻结,,,,,
mdArrowDesc,items,Ammo,New,带有可怕剧毒的弩箭 80%的几率让敌人中神经毒 持续受到毒性伤害,,,,,
szArrowDesc,items,Ammo,New,带有恐怖诅咒附魔的弩箭 有60%的几率诅咒敌人 对处于死咒状态的敌人附加30点真实伤害,,,,,
sdArrowDesc,items,Ammo,New,蕴含霜冻附魔的弩箭有50%的几率霜冻敌人 继续攻击霜冻状态下的敌人有几率使其冻结,,,,,
fsArrowDesc,items,Ammo,New,带有腐蚀能量的弩箭可以轻易穿透护甲更加致命 70%的几率削弱敌人15点物理护甲和10点元素护甲,,,,,
BigArrow1Desc,items,Ammo,New,巨型钢弩箭除了极高的伤害还会对敌人产生强大的击退力 并且10%的几率会击倒敌人,,,,,
BigArrow2Desc,items,Ammo,New,巨型穿刺弩箭拥有极强的冲击力 无视护甲30% 虽然效果拔群但造价不菲,,,,,
BigArrow3Desc,items,Ammo,New,攻城弩箭能对建筑物和方块造成极大伤害 但不是很适合用来对付移动的怪物,,,,,
hyBossDesc,items,Zombie Challenge Note,New,阅读这本书你将解开黄衣之主的秘密,,,,,
hsyBossDesc,items,Zombie Challenge Note,New,阅读这本书你将窥探到黑山羊使者的恐怖真像,,,,,
RXBossDesc,items,Zombie Challenge Note,New,对死灵之书的解读会使你陷入疯狂,你似乎窥探到了拉莱耶的一些传说,这些神秘的咒文将笔记染成血红色似乎预示着某种可怕的宿命,,,,,
HardBossDesc,items,Zombie Challenge Note,New,完成这项凶险的任务你将获得调查员之心和其他的一些奖励,,,,,
YG1Desc,items,Zombie Challenge Note,New,犹格索托斯的试炼要求猎杀三个疯狂化身，作为奖励完成试炼你将获得1点技能点,,,,,
YG2Desc,items,Zombie Challenge Note,New,万物归一者犹格索托斯的残酷试炼，作为奖励完成试炼你将获得2点技能点,,,,,
Newone1Desc,items,Zombie Challenge Note,New,你被诅咒所环绕但你仿佛抓住了救命稻草，没有什么比解除诅咒更重要了[fff000]找到任务地点宝藏获得遗物（任务栏中切换至当前任务,时间不多了）,,,,,
Newone2Desc,items,Zombie Challenge Note,New,调查前任调查员的死因并寻求解除诅咒的方法[fff000]至少击杀1个愚痴之影并获得解除诅咒的救赎之心,,,,,
OldGodCrystalDesc,items,item,New,浓缩着旧日支配者灵魂能量的结晶 是研究和获得神秘学识的重要原材料  “触摸它仿佛能听到阵阵低语”,,,,,
slzscyDesc,items,item,New,上面记载着关于旧日支配者的往事和可怖的知识 搜集一定数量可以解开更加可怕的秘密,,,,,
CrazyEyeDesc,items,item,New,从旧日生物疯狂化身上剜下的恐怖眼球，上面布有恐怖的纹路，或许只有真正的勇敢者才能做到此事,,,,,
InactivatedDesc,items,item,New,寄生者物的主要器官触须带有很强的攻击性，表面带有细小而坚硬的棘刺会对接触者造成伤害，因此必须灭活使其失去所有活动能力,,,,,
VenomglandsDesc,items,item,New,猛毒渗透者表面看似和普通僵尸无异，但藏于尸体胸腔内部的猛毒腺体能够通过肌肉组织向周围释放剧毒气体，猛毒腺体一旦脱离尸体组织就无法再存活和释放毒气，因此保存起来往往是安全的,,,,,
IceGulletDesc,items,item,New,旧日的主宰赐予的奇异咽喉能够吞吐极冰的气息，感叹人类的渺小，旧日的主宰超乎寻常的伟大,,,,,
